ID,Brand,Series,Model,Name,Price,Cooling Capacity,Heating Capacity,Has WiFi
"daikin-standard-20-27kw-heat-pump-ftxv20u","Daikin","Standard","FTXV20U","Daikin Standard 2.0/2.7kw Heat Pump","$1553+GST","2.0kW","2.7kW","Yes"
"daikin-cora-20-28kw-heat-pump-ftxm25u","Daikin","Cora","FTXM25U","Daikin Cora 2.0/2.8kw Heat Pump","$1620+GST ","2.0kW","2.8kW","Yes"
"daikin-alira-22-27-kw-heat-pump-with-wifi-ftxm20y","Daikin","Alira","FTXM20Y","Daikin Alira 2.2/2.7 kw Heat Pump with WIFI","$1721+GST","2.2kW","2.7kW","Yes"
"daikin-standard-25-30kw-heat-pump-ftxv25u","Daikin","Standard","FTXV25U","Daikin Standard 2.5/3.0kw heat pump","$1566+GST","2.50kW","3.20kW","Yes"
"daikin-cora-25-30kw-heat-pump-ftxm25u","Daikin","Cora","FTXM25U","Daikin Cora 2.5/3.0kw heat pump","$1750+GST","2.50kW","3.20kW","Yes"
"daikin-alira-25-32kw-heat-pump-ftxm25wvma","Daikin","Alira","FTXM25WVMA","Daikin Alira 2.5/3.2kw heat pump","$1844+GST","2.50kW","3.20kW","Yes"
"daikin-standard-35-37kw-heat-pump-ftxv35u","Daikin","Standard","FTXV35U","Daikin Standard 3.5/3.7kw heat pump","$1735+GST","3.5kW","3.7kW","Yes"
"daikin-new-cora-35-40kw-heat-pump-ftxm35u","Daikin","Cora","FTXM35U","Daikin New Cora 3.5/4.0kw heat pump","$1888+GST","3.5kW","4.0kW","Yes"
"daikin-alira-35-37kw-heat-pump-ftxm35y","Daikin","Alira","FTXM35Y","Daikin Alira 3.5/3.7kw heat pump","$2001+GST","3.5kW","3.7kW","Yes"
"daikin-standard-50-60kw-heat-pump-ftxv50u","Daikin","Standard","FTXV50U","Daikin Standard 5.0/6.0kw heat pump","$2125+GST","5.0kW","6.0kW","Yes"
"daikin-new-cora-50-61kw-heat-pump-ftxm50u","Daikin","Cora","FTXM50U","Daikin New Cora 5.0/6.1kw heat pump","$2302+GST ","5.0kW","6.1kW","Yes"
